provincia,anio,poblacion_total,poblacion_varones,poblacion_mujeres,provincia_id,hogares,viviendas_particulares,viviendas_particulares_habitadas,superficie_km2,densidad_de_poblacion,fuera_de_rango
Mendoza,2025,2087006,1028506,1058500,50,494841,538056,459550,148827,14.023033454951051,-0.2092723987413525
Mendoza,2026,2105259,1037828,1067431,50,494841,538056,459550,148827,14.145679211433409,-0.20923234013607203
Mendoza,2027,2123178,1046983,1076195,50,494841,538056,459550,148827,14.266080751476547,-0.2091930145376487
Mendoza,2028,2140766,1055973,1084793,50,494841,538056,459550,148827,14.384258232713151,-0.20915441536218868
Mendoza,2029,2158023,1064800,1093223,50,494841,538056,459550,148827,14.50021165514322,-0.20911654260969184
Mendoza,2030,2174953,1073465,1101488,50,494841,538056,459550,148827,14.61396789561034,-0.20907938750163296
Mendoza,2031,2191575,1081978,1109597,50,494841,538056,459550,148827,14.72565461912153,-0.20904290834001726
Mendoza,2032,2207912,1090353,1117559,50,494841,538056,459550,148827,14.835426367527397,-0.20900705464832456
Mendoza,2033,2223969,1098593,1125376,50,494841,538056,459550,148827,14.943316736882421,-0.20897181545339835
Mendoza,2034,2239753,1106701,1133052,50,494841,538056,459550,148827,15.04937276166287,-0.20893717539281945
Mendoza,2035,2255267,1114678,1140589,50,494841,538056,459550,148827,15.153614599501434,-0.2089031278826939
Mendoza,2036,2270521,1122529,1147992,50,494841,538056,459550,148827,15.256109442507071,-0.2088696509767087
Mendoza,2037,2285519,1130257,1155262,50,494841,538056,459550,148827,15.356884167523367,-0.20883673589633855
Mendoza,2038,2300262,1137860,1162402,50,494841,538056,459550,148827,15.455945493761213,-0.20880438044695218
Mendoza,2039,2314745,1145336,1169409,50,494841,538056,459550,148827,15.553259825166133,-0.20877259560170608
Mendoza,2040,2328963,1152681,1176282,50,494841,538056,459550,148827,15.648793565683647,-0.20874139233375685
Misiones,2025,1327431,662445,664986,54,302953,330049,290263,29801,44.5431696922922,-0.19930389982461053
Misiones,2026,1339893,668604,671289,54,302953,330049,290263,29801,44.96134357907453,-0.1991673157050318
Misiones,2027,1352117,674645,677472,54,302953,330049,290263,29801,45.371531156672596,-0.19903334007690388
Misiones,2028,1364086,680558,683528,54,302953,330049,290263,29801,45.77316197443039,-0.19890215926104465
Misiones,2029,1375781,686333,689448,54,302953,330049,290263,29801,46.16559846985,-0.1987739814983683
Misiones,2030,1387184,691961,695223,54,302953,330049,290263,29801,46.54823663635448,-0.19864900406974081
Misiones,2031,1398304,697447,700857,54,302953,330049,290263,29801,46.92137847723231,-0.19852712833472913
Misiones,2032,1409156,702799,706357,54,302953,330049,290263,29801,47.28552733129761,-0.19840818989261164
Misiones,2033,1419725,708009,711716,54,302953,330049,290263,29801,47.64017985973625,-0.19829235314411003
Misiones,2034,1429997,713071,716926,54,302953,330049,290263,29801,47.984866279655044,-0.19817977152989782
Misiones,2035,1439958,717977,721981,54,302953,330049,290263,29801,48.3191168081608,-0.19807059849064862
Misiones,2036,1449601,722726,726875,54,302953,330049,290263,29801,48.64269655380692,-0.19796491074669922
Misiones,2037,1458924,727315,731609,54,302953,330049,290263,29801,48.95553840475152,-0.19786273021814582
Misiones,2038,1467913,731739,736174,54,302953,330049,290263,29801,49.257172578101404,-0.19776421034566205
Misiones,2039,1476556,735992,740564,54,302953,330049,290263,29801,49.54719640280528,-0.1976694826498252
Misiones,2040,1484840,740068,744772,54,302953,330049,290263,29801,49.82517365189088,-0.1975786896112608
Neuquén,2025,704673,349870,354803,58,170057,193733,159302,94078,7.490305916367269,-0.21140612078260826
Neuquén,2026,712383,353619,358764,58,170057,193733,159302,94078,7.572259189183444,-0.2113793531723676
Neuquén,2027,719973,357308,362665,58,170057,193733,159302,94078,7.652936924679521,-0.21135300217862882
Neuquén,2028,727444,360937,366507,58,170057,193733,159302,94078,7.73234975233317,-0.21132706432958762
Neuquén,2029,734793,364505,370288,58,170057,193733,159302,94078,7.810465783711388,-0.2113015500406566
Neuquén,2030,742015,368010,374005,58,170057,193733,159302,94078,7.887231871425838,-0.21127647667085664
Neuquén,2031,749119,371458,377661,58,170057,193733,159302,94078,7.962743680775526,-0.21125181297395013
Neuquén,2032,756107,374849,381258,58,170057,193733,159302,94078,8.037022470715788,-0.21122755200632864
Neuquén,2033,762975,378181,384794,58,170057,193733,159302,94078,8.110025723335955,-0.211203707655209
Neuquén,2034,769720,381454,388266,58,170057,193733,159302,94078,8.181721550203022,-0.2111802903360037
Neuquén,2035,776338,384666,391672,58,170057,193733,159302,94078,8.252067433406323,-0.21115731393592946
Neuquén,2036,782827,387816,395011,58,170057,193733,159302,94078,8.321042113990519,-0.21113478539859465
Neuquén,2037,789191,390907,398284,58,170057,193733,159302,94078,8.388688109866282,-0.21111269083678255
Neuquén,2038,795423,393935,401488,58,170057,193733,159302,94078,8.454931014689938,-0.21109105455312246
Neuquén,2039,801521,396900,404621,58,170057,193733,159302,94078,8.519749569506155,-0.21106988349122266
Neuquén,2040,807482,399800,407682,58,170057,193733,159302,94078,8.583111885881928,-0.21104918806649578
Río Negro,2025,793697,395877,397820,62,199189,236609,190597,203013,3.9095870707787186,-0.2125756565820499
Río Negro,2026,802561,400313,402248,62,199189,236609,190597,203013,3.9532492993059556,-0.21256139560777404
Río Negro,2027,811311,404690,406621,62,199189,236609,190597,203013,3.996349987439228,-0.2125473180440428
Río Negro,2028,819946,409007,410939,62,199189,236609,190597,203013,4.038884209385606,-0.2125334254997206
Río Negro,2029,828459,413262,415197,62,199189,236609,190597,203013,4.080817484594583,-0.2125197292368584
Río Negro,2030,836851,417454,419397,62,199189,236609,190597,203013,4.122154738859088,-0.21250622764659183
Río Negro,2031,845121,421585,423536,62,199189,236609,190597,203013,4.162891046386192,-0.21249292233778527
Río Negro,2032,853269,425654,427615,62,199189,236609,190597,203013,4.203026407175895,-0.21247981331043875
Río Negro,2033,861296,429663,431633,62,199189,236609,190597,203013,4.242565747021127,-0.21246689895568782
Río Negro,2034,869196,433608,435588,62,199189,236609,190597,203013,4.28147951116431,-0.21245418892671902
Río Negro,2035,876969,437490,439479,62,199189,236609,190597,203013,4.319767699605444,-0.2124416832235324
Río Negro,2036,884612,441308,443304,62,199189,236609,190597,203013,4.3574155349657415,-0.2124293866727212
Río Negro,2037,892125,445062,447063,62,199189,236609,190597,203013,4.3944230172452015,-0.21241729927428546
Río Negro,2038,899508,448752,450756,62,199189,236609,190597,203013,4.430790146443824,-0.21240542102822518
Río Negro,2039,906759,452377,454382,62,199189,236609,190597,203013,4.466507070975751,-0.21239375515226916
Río Negro,2040,913879,455938,457941,62,199189,236609,190597,203013,4.50157871663391,-0.21238230003755296
Salta,2025,1510087,747191,762896,66,299794,315186,267075,155488,9.711919890924058,-0.21068049635136168
Salta,2026,1526480,755306,771174,66,299794,315186,267075,155488,9.81734924881663,-0.21064606097296848
Salta,2027,1542650,763311,779339,66,299794,315186,267075,155488,9.92134441243054,-0.21061209403167533
Salta,2028,1558584,771199,787385,66,299794,315186,267075,155488,10.023821774027578,-0.21057862283547468
Salta,2029,1574262,778960,795302,66,299794,315186,267075,155488,10.124652706318173,-0.2105456893966625
Salta,2030,1589668,786586,803082,66,299794,315186,267075,155488,10.223734307470673,-0.2105133273250755
Salta,2031,1604807,794078,810729,66,299794,315186,267075,155488,10.321098734307471,-0.2104815261176397
Salta,2032,1619690,801444,818246,66,299794,315186,267075,155488,10.416816731837827,-0.2104502626675924
Salta,2033,1634300,808674,825626,66,299794,315186,267075,155488,10.51077896686561,-0.21041957268538505
Salta,2034,1648618,815759,832859,66,299794,315186,267075,155488,10.602863243465734,-0.2103894960826989
Salta,2035,1662631,822693,839938,66,299794,315186,267075,155488,10.69298595389998,-0.21036006016752634
Salta,2036,1676343,829477,846866,66,299794,315186,267075,155488,10.78117282362626,-0.21033125653740817
Salta,2037,1689758,836113,853645,66,299794,315186,267075,155488,10.867449578102491,-0.21030307678988513
Salta,2038,1702871,842599,860272,66,299794,315186,267075,155488,10.951784060506277,-0.2102755314280313
Salta,2039,1715673,848930,866743,66,299794,315186,267075,155488,11.034118388557316,-0.2102486393573798
Salta,2040,1728163,855106,873057,66,299794,315186,267075,155488,11.11444613089113,-0.2102224026785455
San Juan,2025,821835,408452,413383,70,177155,188655,162204,89651,9.167047774146413,-0.2108584626967155
San Juan,2026,829702,412547,417155,70,177155,188655,162204,89651,9.254799165653479,-0.21082980130266477
San Juan,2027,837479,416597,420882,70,177155,188655,162204,89651,9.341546664287069,-0.2108014678004997
San Juan,2028,845154,420596,424558,70,177155,188655,162204,89651,9.427156417664053,-0.2107735059091384
San Juan,2029,852715,424538,428177,70,177155,188655,162204,89651,9.5114945734013,-0.21074595934749893
San Juan,2030,860152,428417,431735,70,177155,188655,162204,89651,9.594449587846203,-0.21071886454801306
San Juan,2031,867459,432231,435228,70,177155,188655,162204,89651,9.675954534807197,-0.2106922433701398
San Juan,2032,874633,435978,438655,70,177155,188655,162204,89651,9.755975951188498,-0.21066610674360872
San Juan,2033,881664,439654,442010,70,177155,188655,162204,89651,9.834402293337497,-0.21064049110085156
San Juan,2034,888545,443254,445291,70,177155,188655,162204,89651,9.91115548069737,-0.21061542194457045
San Juan,2035,895265,446773,448492,70,177155,188655,162204,89651,9.986112815250248,-0.21059093935044043
San Juan,2036,901827,450212,451615,70,177155,188655,162204,89651,10.059307760091912,-0.21056703238873192
San Juan,2037,908233,453572,454661,70,177155,188655,162204,89651,10.130762623952885,-0.21054369377295853
San Juan,2038,914478,456850,457628,70,177155,188655,162204,89651,10.20042163500686,-0.21052094171933622
San Juan,2039,920560,460044,460516,70,177155,188655,162204,89651,10.268262484523317,-0.21049878351435125
San Juan,2040,926479,463155,463324,70,177155,188655,162204,89651,10.334285172502259,-0.2104772191580037
San Luis,2025,539178,267582,271596,74,126922,142049,117766,76748,7.025303590973055,-0.2115580000252475
San Luis,2026,545144,270559,274585,74,126922,142049,117766,76748,7.103038515661646,-0.21153261021353353
San Luis,2027,551032,273496,277536,74,126922,142049,117766,76748,7.179757127221556,-0.21150755235041385
San Luis,2028,556840,276392,280448,74,126922,142049,117766,76748,7.255433366341794,-0.21148283494739092
San Luis,2029,562560,279242,283318,74,126922,142049,117766,76748,7.329962995778391,-0.2114584920504744
San Luis,2030,568188,282046,286142,74,126922,142049,117766,76748,7.403293896909366,-0.2114345406826691
San Luis,2031,573720,284801,288919,74,126922,142049,117766,76748,7.475373951112733,-0.21141099786697992
San Luis,2032,579154,287506,291648,74,126922,142049,117766,76748,7.5461770990775,-0.21138787211490923
San Luis,2033,584488,290161,294327,74,126922,142049,117766,76748,7.615677281492677,-0.21136517193795942
San Luis,2034,589716,292763,296953,74,126922,142049,117766,76748,7.683796320425288,-0.21134292287063783
San Luis,2035,594835,295310,299525,74,126922,142049,117766,76748,7.750495126908844,-0.21132113768019803
San Luis,2036,599847,297803,302044,74,126922,142049,117766,76748,7.815799760254339,-0.2112998078551376
San Luis,2037,604751,300241,304510,74,126922,142049,117766,76748,7.879697190806275,-0.21127893765120775
San Luis,2038,609547,302625,306922,74,126922,142049,117766,76748,7.942187418564653,-0.2112585270684085
San Luis,2039,614236,304955,309281,74,126922,142049,117766,76748,8.003283473184968,-0.21123857185098865
San Luis,2040,618818,307232,311586,74,126922,142049,117766,76748,8.062985354667223,-0.21121907199894818
Santa Cruz,2025,411065,211032,200033,78,81796,93881,76233,243943,1.6850862701532736,-0.21330222390956383
Santa Cruz,2026,420152,215668,204484,78,81796,93881,76233,243943,1.722336775394252,-0.21329005713487267
Santa Cruz,2027,429253,220309,208944,78,81796,93881,76233,243943,1.7596446710911975,-0.21327787161528822
Santa Cruz,2028,438368,224954,213414,78,81796,93881,76233,243943,1.7970099572441103,-0.21326566735081043
Santa Cruz,2029,447491,229601,217890,78,81796,93881,76233,243943,1.83440803794329,-0.213253452374965
Santa Cruz,2030,456620,234248,222372,78,81796,93881,76233,243943,1.87183071455217,-0.21324122936559387
Santa Cruz,2031,465759,238897,226862,78,81796,93881,76233,243943,1.9092943843438837,-0.21322899296701323
Santa Cruz,2032,474908,243548,231360,78,81796,93881,76233,243943,1.946799047318431,-0.21321674317922304
Santa Cruz,2033,484064,248199,235865,78,81796,93881,76233,243943,1.984332405520962,-0.2132044840189862
Santa Cruz,2034,493221,252847,240374,78,81796,93881,76233,243943,2.021869863041776,-0.21319222351982844
Santa Cruz,2035,502376,257491,244885,78,81796,93881,76233,243943,2.059399121926024,-0.21317996569851252
Santa Cruz,2036,511524,262128,249396,78,81796,93881,76233,243943,2.0968996855822875,-0.21316771724964328
Santa Cruz,2037,520663,266756,253907,78,81796,93881,76233,243943,2.1343633553740013,-0.21315548085106265
Santa Cruz,2038,529786,271372,258414,78,81796,93881,76233,243943,2.171761436073181,-0.21314326587521723
Santa Cruz,2039,538886,275973,262913,78,81796,93881,76233,243943,2.2090652324518434,-0.21313108169455372
Santa Cruz,2040,547960,280557,267403,78,81796,93881,76233,243943,2.246262446555138,-0.21311893232583493
Santa Fe,2025,3667505,1790055,1877450,82,1023777,1143651,948369,133007,27.573774312630164,-0.20484645042610364
Santa Fe,2026,3692543,1802832,1889711,82,1023777,1143651,948369,133007,27.76202004405783,-0.20478496553117312
Santa Fe,2027,3717160,1815397,1901763,82,1023777,1143651,948369,133007,27.94710052854361,-0.20472451447044523
Santa Fe,2028,3741348,1827746,1913602,82,1023777,1143651,948369,133007,28.128955618877203,-0.20466511688922553
Santa Fe,2029,3765111,1839880,1925231,82,1023777,1143651,948369,133007,28.307615388663756,-0.2046067629648612
Santa Fe,2030,3788453,1851803,1936650,82,1023777,1143651,948369,133007,28.483109911508418,-0.2045494428746995
Santa Fe,2031,3811368,1863513,1947855,82,1023777,1143651,948369,133007,28.655394077003464,-0.2044931713527196
Santa Fe,2032,3833857,1875010,1958847,82,1023777,1143651,948369,133007,28.82447540355019,-0.2044379459432583
Santa Fe,2033,3855933,1886302,1969631,82,1023777,1143651,948369,133007,28.990451630365317,-0.2043837347226941
Santa Fe,2034,3877606,1897394,1980212,82,1023777,1143651,948369,133007,29.153397941461726,-0.20433051313439515
Santa Fe,2035,3898888,1908293,1990595,82,1023777,1143651,948369,133007,29.31340455765486,-0.20427825171040317
Santa Fe,2036,3919780,1919000,2000780,82,1023777,1143651,948369,133007,29.470478997346003,-0.20422694799505495
Santa Fe,2037,3940283,1929517,2010766,82,1023777,1143651,948369,133007,29.624628778936447,-0.20417659953268735
Santa Fe,2038,3960409,1939849,2020560,82,1023777,1143651,948369,133007,29.775944123241633,-0.20412717685534207
Santa Fe,2039,3980166,1950001,2030165,82,1023777,1143651,948369,133007,29.924485177471862,-0.20407866031771357
Santa Fe,2040,3999563,1959977,2039586,82,1023777,1143651,948369,133007,30.070319607238716,-0.20403102781883317
Santiago del Estero,2025,1026866,510729,516137,86,218025,242034,197906,136351,7.531048543831728,-0.21139281340958124
Santiago del Estero,2026,1036139,515273,520866,86,218025,242034,197906,136351,7.59905684593439,-0.21137060051116666
Santiago del Estero,2027,1045247,519733,525514,86,218025,242034,197906,136351,7.665855035899994,-0.2113487828600548
Santiago del Estero,2028,1054179,524104,530075,86,218025,242034,197906,136351,7.731362439586069,-0.2113273868060659
Santiago del Estero,2029,1062924,528380,534544,86,218025,242034,197906,136351,7.795498382850144,-0.21130643869902008
Santiago del Estero,2030,1071469,532554,538915,86,218025,242034,197906,136351,7.858167523523846,-0.21128596967961397
Santiago del Estero,2031,1079809,536624,543185,86,218025,242034,197906,136351,7.9193331915424166,-0.2112659917250386
Santiago del Estero,2032,1087938,540587,547351,86,218025,242034,197906,136351,7.978951382828142,-0.21124651920792306
Santiago del Estero,2033,1095850,544439,551411,86,218025,242034,197906,136351,8.036978093303313,-0.21122756650089658
Santiago del Estero,2034,1103532,548175,555357,86,218025,242034,197906,136351,8.093317980799554,-0.21120916474465581
Santiago del Estero,2035,1110978,551792,559186,86,218025,242034,197906,136351,8.147927041239155,-0.21119132831182982
Santiago del Estero,2036,1118189,555290,562899,86,218025,242034,197906,136351,8.200812608635067,-0.21117405480698054
Santiago del Estero,2037,1125165,558670,566495,86,218025,242034,197906,136351,8.25197468298729,-0.21115734423010782
Santiago del Estero,2038,1131905,561932,569973,86,218025,242034,197906,136351,8.301405930282872,-0.21114119897665004
Santiago del Estero,2039,1138412,565078,573334,86,218025,242034,197906,136351,8.34912835256067,-0.21112561186029244
Santiago del Estero,2040,1144686,568107,576579,86,218025,242034,197906,136351,8.395141949820683,-0.21111058288103512
Tucumán,2025,1791571,885438,906133,90,368538,396040,335821,22524,79.54053454093412,-0.1878730467357023
Tucumán,2026,1810210,894762,915448,90,368538,396040,335821,22524,80.36805185579826,-0.1876027627044431
Tucumán,2027,1828610,903961,924649,90,368538,396040,335821,22524,81.1849582667377,-0.1873359444108024
Tucumán,2028,1846761,913032,933729,90,368538,396040,335821,22524,81.99080980287692,-0.18707273686472234
Tucumán,2029,1864652,921969,942683,90,368538,396040,335821,22524,82.78511809625289,-0.18681329957713944
Tucumán,2030,1882275,930769,951506,90,368538,396040,335821,22524,83.56752797016516,-0.18655774855600732
Tucumán,2031,1899633,939434,960199,90,368538,396040,335821,22524,84.3381726158764,-0.18630604029834347
Tucumán,2032,1916730,947968,968762,90,368538,396040,335821,22524,85.09722962173682,-0.1860581168001709
Tucumán,2033,1933560,956368,977192,90,368538,396040,335821,22524,85.8444326052211,-0.18581406506745496
Tucumán,2034,1950114,964630,985484,90,368538,396040,335821,22524,86.57938199254129,-0.18557401560914363
Tucumán,2035,1966384,972751,993633,90,368538,396040,335821,22524,87.30172260699698,-0.18533808443319066
Tucumán,2036,1982373,980734,1001639,90,368538,396040,335821,22524,88.01158763985083,-0.18510622803661342
Tucumán,2037,1998086,988581,1009505,90,368538,396040,335821,22524,88.70919907654059,-0.18487837391444079
Tucumán,2038,2013520,996292,1017228,90,368538,396040,335821,22524,89.39442372580359,-0.18465456556965543
Tucumán,2039,2028678,1003868,1024810,90,368538,396040,335821,22524,90.06739477890251,-0.18443475949927465
Tucumán,2040,2043560,1011310,1032250,90,368538,396040,335821,22524,90.72811223583733,-0.18421895570329852
Tierra del Fuego,2025,194926,99244,95682,94,38956,43360,36689,1002445,0.19445056836035893,-0.2137890959294993
Tierra del Fuego,2026,199248,101416,97832,94,38956,43360,36689,1002445,0.19876202684436553,-0.21378768771923137
Tierra del Fuego,2027,203558,103580,99978,94,38956,43360,36689,1002445,0.2030615145968108,-0.21378628341884853
Tierra del Fuego,2028,207851,105732,102119,94,38956,43360,36689,1002445,0.20734404381287752,-0.2137848846574695
Tierra del Fuego,2029,212126,107872,104254,94,38956,43360,36689,1002445,0.21160861693160224,-0.21378349176091807
Tierra del Fuego,2030,216380,110000,106380,94,38956,43360,36689,1002445,0.2158522412700946,-0.21378210570666548
Tierra del Fuego,2031,220617,112117,108500,94,38956,43360,36689,1002445,0.22007890707220845,-0.21378072519141672
Tierra del Fuego,2032,224843,114226,110617,94,38956,43360,36689,1002445,0.2242945997037244,-0.21377934826022926
Tierra del Fuego,2033,229055,116326,112729,94,38956,43360,36689,1002445,0.2284963264817521,-0.2137779758905744
Tierra del Fuego,2034,233252,118417,114835,94,38956,43360,36689,1002445,0.23268308984532818,-0.21377660840827584
Tierra del Fuego,2035,237433,120498,116935,94,38956,43360,36689,1002445,0.23685389223348913,-0.21377524613915733
Tierra del Fuego,2036,241593,122567,119026,94,38956,43360,36689,1002445,0.24100374584141773,-0.21377389071233766
Tierra del Fuego,2037,245734,124625,121109,94,38956,43360,36689,1002445,0.2451346457910409,-0.21377254147616936
Tierra del Fuego,2038,249853,126670,123183,94,38956,43360,36689,1002445,0.2492435993994683,-0.21377119940812367
Tierra del Fuego,2039,253948,128702,125246,94,38956,43360,36689,1002445,0.25332861154477304,-0.21376986515984808
Tierra del Fuego,2040,258020,130721,127299,94,38956,43360,36689,1002445,0.2573906797879185,-0.21376853840551885
